game_id,season,week,start_date,home_team,away_team,books,market_total,min_market_total,max_market_total,market_total_range,projected_offensive_total_raw,projected_scoreboard_total,actual_score_total,total_edge,abs_total_edge,direction,actual_total_residual,aligned_total_residual,result,edge_bucket,market_total_bucket,calibration_intercept,calibration_slope,calibration_n,football_lab_total_edge,pace_total_edge,efficiency_total_edge,tendency_total_edge,pace_projected_total,efficiency_projected_total,tendency_projected_total,primary_z,primary_direction,structural_z,structural_z_aligned,tendency_z,tendency_z_aligned,available_confirmations,confirmation_count,confirmation_combination,abs_primary_z
401531907,2023,10,2023-11-04T19:30:00+00:00,Old Dominion,Coastal Carolina,3,51.333333333333336,51.0,51.5,0.5,45.900000000000006,54.01772075739585,52.0,2.684387424062514,2.684387424062514,over,0.6666666666666643,0.6666666666666643,win,2-2.99,45-54.5,22.381232264941374,0.689248115304019,1769,2.684387424062514,3.5626380065130405,3.0903256899663205,1.1041666666666643,54.895971339846376,54.423659023299656,52.4375,0.41248841966389604,1,0.4441207257485762,0.4441207257485762,0.21836215481612178,0.21836215481612178,2,2,structural+tendency,0.41248841966389604
401520379,2023,10,2023-11-04T20:00:00+00:00,Vanderbilt,Auburn,2,49.5,49.0,50.0,1.0,48.599999999999994,55.87869066871669,46.0,6.378690668716693,6.378690668716693,over,-3.5,-3.5,loss,5-7.99,45-54.5,22.381232264941374,0.689248115304019,1769,6.378690668716693,5.460903822412654,6.285540684494556,4.75,54.960903822412654,55.785540684494556,54.25,0.9801625539885241,1,0.7947440201819695,0.7947440201819695,0.9393692697750164,0.9393692697750164,2,2,structural+tendency,0.9801625539885241
401531343,2023,10,2023-11-04T20:00:00+00:00,Tulsa,Charlotte,3,47.666666666666664,47.5,48.0,0.5,42.8,51.88105159995338,59.0,4.214384933286716,4.214384933286716,over,11.333333333333336,11.333333333333336,win,3-4.99,45-54.5,22.381232264941374,0.689248115304019,1769,4.214384933286716,7.229304673179712,4.6342829517537965,0.9583333333333357,54.895971339846376,52.30094961842046,48.625,0.647590942128586,1,0.7807485669715138,0.7807485669715138,0.18952187021776695,0.18952187021776695,2,2,structural+tendency,0.647590942128586
401531909,2023,10,2023-11-04T20:00:00+00:00,Southern Miss,UL Monroe,3,56.333333333333336,56.0,56.5,0.5,47.6,55.189442553412675,31.0,-1.1438907799206603,1.1438907799206603,under,-25.333333333333336,25.333333333333336,win,1-1.99,55-64.5,22.381232264941374,0.689248115304019,1769,-1.1438907799206603,-1.1451658219387113,-1.993365361838947,1.4166666666666643,55.188167511394624,54.33996797149439,57.75,-0.17577257881930328,-1,-0.21636273289172325,0.21636273289172325,0.28016276466974127,-0.28016276466974127,2,1,structural_only,0.17577257881930328
401532610,2023,10,2023-11-04T20:00:00+00:00,Nevada,Hawai'i,3,50.0,49.5,50.5,1.0,41.7,51.12287867311897,41.0,1.1228786731189686,1.1228786731189686,over,-9.0,-9.0,loss,1-1.99,45-54.5,22.381232264941374,0.689248115304019,1769,1.1228786731189686,4.766106374713814,2.0955261276257033,3.5,54.766106374713814,52.0955261276257,53.5,0.17254381584315956,1,0.4440873894686573,0.4440873894686573,0.6921668303605385,0.6921668303605385,2,2,structural+tendency,0.17254381584315956
401531910,2023,10,2023-11-04T21:00:00+00:00,Texas State,Georgia Southern,2,68.75,68.5,69.0,0.5,51.7,58.015359826159155,69.0,-10.734640173840845,10.734640173840845,under,0.25,-0.25,loss,8+,65+,22.381232264941374,0.689248115304019,1769,-10.734640173840845,-13.626764971171653,-11.754743203047411,-7.625,55.12323502882835,56.99525679695259,61.125,-1.649506595537181,-1,-1.6939023174339705,1.6939023174339705,-1.507934880428316,1.507934880428316,2,2,structural+tendency,1.649506595537181
401524047,2023,10,2023-11-04T21:30:00+00:00,Oregon,California,3,60.666666666666664,59.0,61.5,2.5,55.9,60.91020191043604,82.0,0.2435352437693723,0.2435352437693723,over,21.333333333333336,21.333333333333336,win,<1,55-64.5,22.381232264941374,0.689248115304019,1769,0.2435352437693723,-5.8356278093865726,0.3761937266863882,2.7708333333333357,54.83103885728009,61.04286039335305,63.4375,0.03742211982309997,1,-0.32720051432029146,-0.32720051432029146,0.5479654073687601,0.5479654073687601,2,1,tendency_only,0.03742211982309997
401520366,2023,10,2023-11-04T22:00:00+00:00,Liberty,Louisiana Tech,3,58.833333333333336,58.0,59.5,1.5,50.3,57.050412464733526,86.0,-1.7829208685998097,1.7829208685998097,under,27.166666666666664,-27.166666666666664,loss,1-1.99,55-64.5,22.381232264941374,0.689248115304019,1769,-1.7829208685998097,-4.002294476053244,-1.442446109664914,-2.0833333333333357,54.83103885728009,57.39088722366842,56.75,-0.2739672391854379,-1,-0.3495671777992074,0.3495671777992074,-0.41200406569079717,0.41200406569079717,2,2,structural+tendency,0.2739672391854379
401520372,2023,10,2023-11-04T22:00:00+00:00,New Mexico State,Middle Tennessee,3,55.833333333333336,55.5,56.5,1.0,48.5,55.80976585718629,20.0,-0.023567476147043465,0.023567476147043465,under,-35.833333333333336,35.833333333333336,win,<1,55-64.5,22.381232264941374,0.689248115304019,1769,-0.023567476147043465,-0.8399632696375434,-0.32169063656512975,-3.2083333333333357,54.99337006369579,55.511642696768206,52.625,-0.0036214262159850346,-1,-0.0747596347933432,0.0747596347933432,-0.6344862611638274,0.6344862611638274,2,2,structural+tendency,0.0036214262159850346
401531905,2023,10,2023-11-04T22:00:00+00:00,App State,Marshall,3,56.833333333333336,55.5,57.5,2.0,50.3,57.050412464733526,40.0,0.2170791314001903,0.2170791314001903,over,-16.833333333333336,-16.833333333333336,loss,<1,55-64.5,22.381232264941374,0.689248115304019,1769,0.2170791314001903,-1.5477670980892881,-1.2227830298861662,2.1666666666666643,55.28556623524405,55.61055030344717,59.0,0.03335681990260675,1,-0.18412852155501758,-0.18412852155501758,0.4284842283184281,0.4284842283184281,2,1,tendency_only,0.03335681990260675
401532611,2023,10,2023-11-04T22:00:00+00:00,New Mexico,UNLV,3,58.833333333333336,57.5,61.0,3.5,48.7,55.9476154802471,70.0,-2.885717853086234,2.885717853086234,under,11.166666666666664,-11.166666666666664,loss,2-2.99,55-64.5,22.381232264941374,0.689248115304019,1769,-2.885717853086234,-4.067226958619521,-2.165232466164994,2.6666666666666643,54.766106374713814,56.66810086716834,61.5,-0.4434252619966496,-1,-0.40671616823140777,0.40671616823140777,0.5273652040842193,-0.5273652040842193,2,1,structural_only,0.4434252619966496
401525882,2023,10,2023-11-04T23:00:00+00:00,Iowa State,Kansas,3,53.333333333333336,53.0,53.5,0.5,47.8,55.32729217647348,49.0,1.9939588431401418,1.9939588431401418,over,-4.333333333333336,-4.333333333333336,loss,1-1.99,45-54.5,22.381232264941374,0.689248115304019,1769,1.9939588431401418,1.497705523946756,2.5282901255296437,0.4166666666666643,54.83103885728009,55.86162345886298,53.75,0.30639576266416507,1,0.2771749571325801,0.2771749571325801,0.08240081313815888,0.08240081313815888,2,2,structural+tendency,0.30639576266416507
401525885,2023,10,2023-11-04T23:00:00+00:00,West Virginia,BYU,3,48.333333333333336,47.5,49.0,1.5,49.3,56.36116434942951,44.0,8.027831016096172,8.027831016096172,over,-4.333333333333336,-4.333333333333336,loss,8+,45-54.5,22.381232264941374,0.689248115304019,1769,8.027831016096172,6.660036730362457,7.840229500440209,5.541666666666664,54.99337006369579,56.173562833773545,53.875,1.2335728067697889,1,0.982100259525469,0.982100259525469,1.0959308147375189,1.0959308147375189,2,2,structural+tendency,1.2335728067697889
401532612,2023,10,2023-11-04T23:00:00+00:00,San Diego State,Utah State,2,56.5,56.5,56.5,0.0,50.2,56.98148765320313,56.0,0.481487653203132,0.481487653203132,over,-0.5,-0.5,loss,<1,55-64.5,22.381232264941374,0.689248115304019,1769,0.481487653203132,-1.2469000060390982,-0.6383765411370206,2.0,55.2530999939609,55.86162345886298,58.5,0.07398636999158166,1,-0.12281666778976438,-0.12281666778976438,0.3955239030631648,0.3955239030631648,2,1,tendency_only,0.07398636999158166
401520368,2023,10,2023-11-04T23:30:00+00:00,Michigan,Purdue,3,53.666666666666664,52.5,54.5,2.0,44.9,53.328472642091825,54.0,-0.3381940245748396,0.3381940245748396,under,0.3333333333333357,-0.3333333333333357,loss,<1,45-54.5,22.381232264941374,0.689248115304019,1769,-0.3381940245748396,1.1319059493302888,0.2852791555487286,-4.479166666666664,54.79857261599695,53.95194582221539,49.1875,-0.051967580195830816,-1,0.08983390194212422,-0.08983390194212422,-0.8858087412352125,0.8858087412352125,2,1,tendency_only,0.051967580195830816
401520371,2023,10,2023-11-04T23:30:00+00:00,Mississippi State,Kentucky,3,45.0,44.5,46.0,1.5,44.9,53.328472642091825,27.0,8.328472642091825,8.328472642091825,over,-18.0,-18.0,loss,8+,45-54.5,22.381232264941374,0.689248115304019,1769,8.328472642091825,9.603775168298121,9.842114282326023,8.25,54.60377516829812,54.84211428232602,53.25,1.2797700091856958,1,1.3084691034358005,1.3084691034358005,1.631536100135555,1.631536100135555,2,2,structural+tendency,1.2797700091856958
401524048,2023,10,2023-11-04T23:30:00+00:00,USC,Washington,3,76.0,75.5,76.5,1.0,60.1,63.80504399471292,94.0,-12.194956005287082,12.194956005287082,under,18.0,-18.0,loss,8+,65+,22.381232264941374,0.689248115304019,1769,-12.194956005287082,-21.006629936304208,-13.131153021804636,-6.625,54.99337006369579,62.868846978195364,69.375,-1.8739016899724763,-1,-2.2440137350034717,2.2440137350034717,-1.3101729288967336,1.3101729288967336,2,2,structural+tendency,1.8739016899724763
401531440,2023,10,2023-11-04T23:30:00+00:00,Rice,SMU,3,59.0,58.5,59.5,1.0,50.5,57.188262087794335,67.0,-1.8117379122056647,1.8117379122056647,under,8.0,-8.0,loss,1-1.99,55-64.5,22.381232264941374,0.689248115304019,1769,-1.8117379122056647,-3.974163695021069,-2.3547239651421847,-1.25,55.02583630497893,56.645276034857815,57.75,-0.2783953245913722,-1,-0.4150039689432936,0.4150039689432936,-0.24720243941447803,0.24720243941447803,2,2,structural+tendency,0.2783953245913722
401520362,2023,10,2023-11-04T23:45:00+00:00,Alabama,LSU,3,60.833333333333336,60.5,61.5,1.0,55.1,60.35880341819282,70.0,-0.4745299151405149,0.4745299151405149,under,9.166666666666664,-9.166666666666664,loss,<1,55-64.5,22.381232264941374,0.689248115304019,1769,-0.4745299151405149,-6.034760717336383,-0.20131992156979805,-0.3333333333333357,54.79857261599695,60.63201341176354,60.5,-0.07291722983984421,-1,-0.3818181261326477,0.3818181261326477,-0.06592065051052794,0.06592065051052794,2,2,structural+tendency,0.07291722983984421
401525544,2023,10,2023-11-05T00:00:00+00:00,NC State,Miami,3,44.166666666666664,44.0,44.5,0.5,43.2,52.156750846075,26.0,7.990084179408335,7.990084179408335,over,-18.166666666666664,-18.166666666666664,loss,5-7.99,<45,22.381232264941374,0.689248115304019,1769,7.990084179408335,11.086433327294237,7.381063485506353,7.520833333333336,55.2530999939609,51.54773015217302,51.6875,1.227772551235469,1,1.2174921626041717,1.2174921626041717,1.4873346771437765,1.4873346771437765,2,2,structural+tendency,1.227772551235469
401520378,2023,10,2023-11-05T01:00:00+00:00,UTEP,Western Kentucky,3,54.0,53.5,54.5,1.0,49.4,56.43008916095991,34.0,2.430089160959909,2.430089160959909,over,-20.0,-20.0,loss,2-2.99,45-54.5,22.381232264941374,0.689248115304019,1769,2.430089160959909,0.8635050985632375,2.751791918973609,-0.4375,54.86350509856324,56.75179191897361,53.5625,0.37341243244603,1,0.255057149783428,0.255057149783428,-0.08652085379506731,-0.08652085379506731,2,1,structural_only,0.37341243244603
401524050,2023,10,2023-11-05T01:00:00+00:00,Washington State,Stanford,3,58.333333333333336,57.5,59.5,2.0,50.8,57.39503652238554,17.0,-0.9382968109477972,0.9382968109477972,under,-41.333333333333336,41.333333333333336,win,<1,55-64.5,22.381232264941374,0.689248115304019,1769,-0.9382968109477972,-3.469828234770098,-0.7598474511806828,3.2916666666666643,54.86350509856324,57.57348588215265,61.625,-0.14418059228492236,-1,-0.26694340655612053,0.26694340655612053,0.6509664237914583,-0.6509664237914583,2,1,structural_only,0.14418059228492236
401524046,2023,10,2023-11-05T02:00:00+00:00,Colorado,Oregon State,3,60.833333333333336,59.5,62.5,3.0,50.099999999999994,56.912562841672724,45.0,-3.920770491660612,3.920770491660612,under,-15.833333333333336,15.833333333333336,win,3-4.99,55-64.5,22.381232264941374,0.689248115304019,1769,-3.920770491660612,-6.034760717336383,-3.2218060639964605,1.4166666666666643,54.79857261599695,57.611527269336875,62.25,-0.6024735511248839,-1,-0.6041388071425814,0.6041388071425814,0.28016276466974127,-0.28016276466974127,2,1,structural_only,0.6024735511248839
401532608,2023,10,2023-11-05T02:00:00+00:00,Fresno State,Boise State,3,54.333333333333336,53.5,55.0,1.5,50.5,57.188262087794335,67.0,2.8549287544609996,2.8549287544609996,over,12.666666666666664,12.666666666666664,win,2-2.99,45-54.5,22.381232264941374,0.689248115304019,1769,2.8549287544609996,0.724969212928734,2.304334424087635,1.7291666666666643,55.05830254626207,56.63766775742097,56.0625,0.43869414661406503,1,0.21369739557051343,0.21369739557051343,0.3419633745233608,0.3419633745233608,2,2,structural+tendency,0.43869414661406503
401524045,2023,10,2023-11-05T02:30:00+00:00,Arizona,UCLA,3,49.5,49.0,50.0,1.0,51.7,58.015359826159155,37.0,8.515359826159155,8.515359826159155,over,-12.5,-12.5,loss,8+,45-54.5,22.381232264941374,0.689248115304019,1769,8.515359826159155,5.428437581129515,8.438683199121115,-0.4375,54.928437581129515,57.938683199121115,49.0625,1.3084874731852492,1,0.9512500919023503,0.9512500919023503,-0.08652085379506731,-0.08652085379506731,2,1,structural_only,1.3084874731852492
401532437,2023,11,2023-11-08T00:00:00+00:00,Northern Illinois,Ball State,3,43.166666666666664,43.0,43.5,0.5,41.400000000000006,50.916104238527765,37.0,7.749437571861101,7.749437571861101,over,-6.166666666666664,-6.166666666666664,loss,5-7.99,<45,22.381232264941374,0.689248115304019,1769,7.749437571861101,11.664372190613427,8.563662143990577,2.3958333333333357,54.83103885728009,51.73032881065724,45.5625,1.1907943051168772,1,1.3396834578950338,1.3396834578950338,0.4738046755444167,0.4738046755444167,2,2,structural+tendency,1.1907943051168772
