game_id,season,week,start_date,home_team,away_team,selected_side,selected_team,market_role,spread_bucket,total_bucket,season_phase,market_spread_home,market_home_margin,market_total,books,actual_home_margin,market_margin_residual_home,aligned_residual,hit,margin_power_edge,margin_power_z,abs_margin_power_z,structural_z,structural_z_aligned,structural_members,line_elo_z,line_elo_z_aligned,confirmation_count,confirmation_combination,narrative_state,narrative_z,football_lab_edge,elo_edge,efficiency_power_edge,line_elo_edge,narrative_interaction_edge,structural_strength,line_elo_strength,joint_confirmation_strength
401310711,2021,5,2021-10-02T19:30:00+00:00,Boise State,Nevada,home,Boise State,favorite,3-6.5,55-64.5,mid_5_9,-3.75,3.75,59.0,4,-10.0,-13.75,-13.75,False,25.73833624181333,2.8366184413027047,2.8366184413027047,0.6008797505578796,0.6008797505578796,elo_edge|efficiency_power_edge,0.3409758746738721,0.3409758746738721,2,structural+market,agrees,0.5358943369092455,,9.15,-5.1463877628482315,3.421559643429309,0.3529173447563973,strong_>=0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282647,2021,5,2021-10-02T23:30:00+00:00,Clemson,Boston College,home,Clemson,favorite,14+,45-54.5,mid_5_9,-14.5,14.5,46.375,4,6.0,-8.5,-8.5,False,12.961277021223076,1.4284605296866733,1.4284605296866733,0.10956545484956223,0.10956545484956223,elo_edge|efficiency_power_edge,0.6023438514899649,0.6023438514899649,2,structural+market,opposes,-0.04110198292704375,,1.6400000000000006,-0.8669596585372439,6.044285143918323,-0.027068027556506166,weak_<0.25,strong_>=0.50,weak_any_<0.25
401282729,2021,5,2021-10-02T23:30:00+00:00,Penn State,Indiana,away,Indiana,underdog,7-13.5,45-54.5,mid_5_9,-12.25,12.25,54.0,4,24.0,11.75,-11.75,False,-12.20043478817957,-1.3446082134803523,1.3446082134803523,-0.544060509763932,0.544060509763932,elo_edge|efficiency_power_edge,-0.24332241441608457,0.24332241441608457,2,structural+market,opposes,0.3857018417917579,,-2.3499999999999996,-10.255372179339856,-2.4416453343045035,0.2540069198302641,strong_>=0.50,weak_<0.25,weak_any_<0.25
401309865,2021,5,2021-10-03T01:00:00+00:00,Oregon State,Washington,away,Washington,underdog,<3,55-64.5,mid_5_9,-2.375,2.375,57.625,4,3.0,0.625,-0.625,False,-12.572983295111989,-1.385666732380556,1.385666732380556,-0.3647324803860816,0.3647324803860816,elo_edge|efficiency_power_edge,-0.26212435168174736,0.26212435168174736,2,structural+market,opposes,1.029425149151192,,-6.835,6.3431517742022265,-2.630315426662246,0.6779358639227844,moderate_0.25_0.50,moderate_0.25_0.50,moderate_both_>=0.25
401309868,2021,6,2021-10-09T02:30:00+00:00,Arizona State,Stanford,away,Stanford,underdog,7-13.5,45-54.5,mid_5_9,-13.5,13.5,53.5,4,18.0,4.5,-4.5,False,-12.850247331997144,-1.416223963149061,1.416223963149061,-0.3854649813349119,0.3854649813349119,elo_edge|efficiency_power_edge,-0.42468351489045897,0.42468351489045897,2,structural+market,opposes,0.06226872516401665,,-2.84,-4.31283389904139,-4.26153309869418,0.0410075487511118,moderate_0.25_0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282655,2021,6,2021-10-09T19:30:00+00:00,Syracuse,Wake Forest,away,Wake Forest,favorite,3-6.5,55-64.5,mid_5_9,5.875,-5.875,58.625,4,-3.0,2.875,-2.875,False,-10.42634719055225,-1.1490862672039397,1.1490862672039397,-0.10728019403559214,0.10728019403559214,elo_edge|efficiency_power_edge,-0.15741254025970744,0.15741254025970744,2,structural+market,agrees,-0.35142984232631785,,-0.7850000000000001,-1.2139195712223358,-1.5795733221227142,-0.2314368305089356,weak_<0.25,weak_<0.25,weak_any_<0.25
401287919,2021,6,2021-10-09T23:00:00+00:00,Texas Tech,TCU,home,Texas Tech,underdog,<3,55-64.5,mid_5_9,2.5,-2.5,60.375,4,-21.0,-18.5,-18.5,False,13.873636287403384,1.5290115169465293,1.5290115169465293,0.11086415837209794,0.11086415837209794,elo_edge|efficiency_power_edge,0.06804250481786445,0.06804250481786445,2,structural+market,agrees,0.4644125660571,,0.20000000000000018,2.790587535806995,0.6827799437286375,0.3058424737788063,weak_<0.25,weak_<0.25,weak_any_<0.25
401309565,2021,6,2021-10-09T23:00:00+00:00,Kent State,Buffalo,away,Buffalo,underdog,7-13.5,65+,mid_5_9,-7.0,7.0,66.0,4,10.0,3.0,-3.0,False,-11.227097672076308,-1.2373368658997137,1.2373368658997137,-1.0276987327660552,1.0276987327660552,elo_edge|efficiency_power_edge,-0.8237034573781238,0.8237034573781238,2,structural+market,agrees,-0.6880226955604287,,-12.42,0.6857968102630911,-8.265542278068224,-0.45310264752890406,strong_>=0.50,strong_>=0.50,strong_both_>=0.50
401310714,2021,6,2021-10-09T23:00:00+00:00,Air Force,Wyoming,home,Air Force,favorite,3-6.5,45-54.5,mid_5_9,-5.5,5.5,46.375,4,10.0,4.5,4.5,True,9.408424287495311,1.0369011262722247,1.0369011262722247,0.3695444714822456,0.3695444714822456,elo_edge|efficiency_power_edge,0.11976511414355645,0.11976511414355645,2,structural+market,agrees,0.14104314321090397,,0.3200000000000003,10.173110884081371,1.2017961142741749,0.09288504873026537,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401282656,2021,6,2021-10-09T23:30:00+00:00,Virginia Tech,Notre Dame,away,Notre Dame,underdog,<3,45-54.5,mid_5_9,-0.75,0.75,46.875,4,-3.0,-3.75,3.75,True,-13.069467112323398,-1.4403841445115828,1.4403841445115828,-0.48275455833796965,0.48275455833796965,elo_edge|efficiency_power_edge,-0.28101214204191005,0.28101214204191005,2,structural+market,agrees,-0.20934846998120615,,-8.13,6.091862567406768,-2.8198470212705073,-0.13786804798255178,moderate_0.25_0.50,moderate_0.25_0.50,moderate_both_>=0.25
401309618,2021,6,2021-10-10T00:00:00+00:00,UL Monroe,Georgia State,home,UL Monroe,underdog,14+,45-54.5,mid_5_9,16.0,-16.0,49.5,4,-34.0,-18.0,-18.0,False,17.508384318214013,1.9295965896108738,1.9295965896108738,1.4095136111464583,1.4095136111464583,elo_edge|efficiency_power_edge,0.11373240895831446,0.11373240895831446,2,structural+market,opposes,-0.3004644689076901,,9.66,17.59237973372602,1.141260275419672,-0.1978731911445837,strong_>=0.50,weak_<0.25,weak_any_<0.25
401301023,2021,7,2021-10-16T16:00:00+00:00,Cincinnati,UCF,away,UCF,underdog,14+,55-64.5,mid_5_9,-21.75,21.75,56.0,4,35.0,13.25,-13.25,False,-12.71153369593156,-1.40093635269798,1.40093635269798,-1.6080509046508888,1.6080509046508888,elo_edge|efficiency_power_edge,-1.2307233089921004,1.2307233089921004,2,structural+market,agrees,-0.24571737820150708,,-6.890000000000001,-30.451423514746175,-12.349827419030081,-0.16181907272154128,strong_>=0.50,strong_>=0.50,strong_both_>=0.50
401301026,2021,8,2021-10-22T23:00:00+00:00,UCF,Memphis,home,UCF,favorite,<3,55-64.5,mid_5_9,-0.625,0.625,63.875,4,17.0,16.375,16.375,True,14.358000759709427,1.5823932577687316,1.5823932577687316,0.12373862483645694,0.12373862483645694,elo_edge|efficiency_power_edge,0.4553477115612216,0.4553477115612216,2,structural+market,opposes,-0.11488278225329808,,2.5949999999999998,-2.8460256016891385,4.569236328218003,-0.07565694145024625,weak_<0.25,moderate_0.25_0.50,weak_any_<0.25
401301029,2021,8,2021-10-23T23:00:00+00:00,South Florida,Temple,home,South Florida,favorite,<3,45-54.5,mid_5_9,-1.5,1.5,54.875,4,20.0,18.5,18.5,True,10.15909407870665,1.1196323390854162,1.1196323390854162,0.48248741945173534,0.48248741945173534,elo_edge|efficiency_power_edge,0.19287576944868323,0.19287576944868323,2,structural+market,agrees,0.029155697212171035,,2.5999999999999996,7.7980489830995925,1.9354329674267685,0.019200709050193693,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401282114,2021,8,2021-10-23T23:30:00+00:00,Texas A&M,South Carolina,away,South Carolina,underdog,14+,45-54.5,mid_5_9,-19.375,19.375,45.875,4,30.0,10.625,-10.625,False,-9.722434345366517,-1.0715081308798093,1.0715081308798093,-0.298983381882471,0.298983381882471,elo_edge|efficiency_power_edge,-0.14877497258543187,0.14877497258543187,2,structural+market,opposes,0.2772905885396192,,0.08500000000000085,-9.094927322804335,-1.4928987062134276,0.18261185366829868,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
