game_id,season,week,kickoff,projected_total,opening_total,closing_total,actual_total,model_vs_open,abs_model_vs_open,model_direction,market_move,aligned_market_move,close_moved_toward_model,close_moved_away_from_model,close_unchanged,open_distance_to_model,close_distance_to_model,distance_improvement_toward_model,open_result_aligned,close_result_aligned,opening_edge_bucket,close_provider_range,open_books,close_books,calibration_n,market_total_residual,active_narrative_tags,narrative_tag_count,home_narrative_tags,away_narrative_tags,narrative_adjustment,narrative_tags_used,narrative_relation_to_fl,original_closing_result,adjusted_projected_total,adjusted_edge_vs_close,adjusted_direction,adjusted_aligned_residual,adjusted_closing_result,direction_changed_by_narrative,absolute_projection_error_original,absolute_projection_error_adjusted
401628439,2024,14,2024-11-30T00:30:00+00:00,55.399393915584895,54.5,49.0,86.0,0.8993939155848949,0.8993939155848949,over,-5.5,-5.5,False,True,False,0.8993939155848949,6.399393915584895,-5.5,31.5,37.0,<1,1.0,2,3,2675,37.0,lookahead_candidate|disputed_team,2,lookahead_candidate|disputed_team,disputed_team,0.9288368359368726,lookahead_candidate|disputed_team,agrees,win,56.328230751521765,7.328230751521765,over,37.0,win,False,30.600606084415105,29.671769248478235
401628562,2024,14,2024-11-30T00:30:00+00:00,51.79740164887718,39.5,41.333333333333336,23.0,12.297401648877177,12.297401648877177,over,1.8333333333333357,1.8333333333333357,True,False,False,12.297401648877177,10.464068315543841,1.8333333333333357,-16.5,-18.333333333333336,8+,0.5,2,3,2675,-18.333333333333336,statement_win|won_big_then_underdog|market_darling|market_lag|lookahead_candidate|disputed_team,6,lookahead_candidate|disputed_team,statement_win|won_big_then_underdog|market_darling|market_lag|disputed_team,0.999858799002553,statement_win|won_big_then_underdog|market_darling|market_lag|lookahead_candidate|disputed_team,agrees,loss,52.79726044787973,11.463927114546394,over,-18.333333333333336,loss,False,28.797401648877177,29.79726044787973
401636939,2024,14,2024-11-30T01:00:00+00:00,53.66766686428311,49.25,46.166666666666664,42.0,4.417666864283113,4.417666864283113,over,-3.0833333333333357,-3.0833333333333357,False,True,False,4.417666864283113,7.501000197616449,-3.0833333333333357,-7.25,-4.166666666666664,3-4.99,1.0,2,3,2675,-4.166666666666664,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,6,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,disputed_team,0.5319415310226313,bad_loss|upset_loss|bounceback_candidate|market_chase|lookahead_candidate|disputed_team,agrees,loss,54.199608395305745,8.03294172863908,over,-4.166666666666664,loss,False,11.667666864283113,12.199608395305745
401628440,2024,14,2024-11-30T17:00:00+00:00,53.806205028387254,48.5,49.333333333333336,55.0,5.306205028387254,5.306205028387254,over,0.8333333333333357,0.8333333333333357,True,False,False,5.306205028387254,4.472871695053918,0.8333333333333357,6.5,5.666666666666664,5-7.99,1.5,2,3,2675,5.666666666666664,market_darling|market_lag|disputed_team,3,market_darling|disputed_team,market_lag|disputed_team,0.5704730555170557,market_darling|market_lag|disputed_team,agrees,win,54.37667808390431,5.043344750570974,over,5.666666666666664,win,False,1.1937949716127463,0.6233219160956907
401628444,2024,14,2024-11-30T17:00:00+00:00,53.11351420786654,49.25,49.0,31.0,3.8635142078665368,3.8635142078665368,over,-0.25,-0.25,False,True,False,3.8635142078665368,4.113514207866537,-0.25,-18.25,-18.0,3-4.99,1.0,2,3,2675,-18.0,market_darling,1,market_darling,,0.6475811209439529,market_darling,agrees,loss,53.76109532881049,4.761095328810491,over,-18.0,loss,False,22.113514207866537,22.76109532881049
401628446,2024,14,2024-11-30T17:00:00+00:00,52.00520889503339,48.5,46.5,59.0,3.505208895033391,3.505208895033391,over,-2.0,-2.0,False,True,False,3.505208895033391,5.505208895033391,-2.0,10.5,12.5,3-4.99,1.5,2,3,2675,12.5,market_darling|market_lag|lookahead_candidate|disputed_team,4,market_darling|disputed_team,market_lag|lookahead_candidate|disputed_team,0.6890650093932358,market_darling|market_lag|lookahead_candidate|disputed_team,agrees,win,52.69427390442662,6.194273904426623,over,12.5,win,False,6.994791104966609,6.305726095573377
401628563,2024,14,2024-11-30T17:00:00+00:00,51.24324899246061,44.25,43.166666666666664,66.0,6.993248992460607,6.993248992460607,over,-1.0833333333333357,-1.0833333333333357,False,True,False,6.993248992460607,8.076582325793943,-1.0833333333333357,21.75,22.833333333333336,5-7.99,1.0,2,3,2675,22.833333333333336,upset_win|bad_loss|letdown_candidate|bounceback_candidate|market_chase|lookahead_candidate|sandwich_candidate|disputed_team,8,bad_loss|bounceback_candidate|market_chase|lookahead_candidate|sandwich_candidate|disputed_team,upset_win|letdown_candidate|lookahead_candidate|disputed_team,0.7192195772921799,upset_win|bad_loss|letdown_candidate|bounceback_candidate|market_chase|lookahead_candidate|sandwich_candidate|disputed_team,agrees,win,51.96246856975279,8.795801903086122,over,22.833333333333336,win,False,14.756751007539393,14.037531430247213
401628566,2024,14,2024-11-30T17:00:00+00:00,50.61982725399196,43.25,41.666666666666664,23.0,7.369827253991957,7.369827253991957,over,-1.5833333333333357,-1.5833333333333357,False,True,False,7.369827253991957,8.953160587325293,-1.5833333333333357,-20.25,-18.666666666666664,5-7.99,0.5,2,3,2675,-18.666666666666664,statement_win|letdown_candidate|market_skepticism|market_lag|lookahead_candidate|disputed_team,6,statement_win|letdown_candidate|market_lag|lookahead_candidate|disputed_team,market_skepticism|market_lag|disputed_team,0.8367380133295029,statement_win|letdown_candidate|market_skepticism|market_lag|lookahead_candidate|disputed_team,agrees,loss,51.45656526732146,9.789898600654794,over,-18.666666666666664,loss,False,27.619827253991957,28.45656526732146
401629038,2024,14,2024-11-30T17:00:00+00:00,54.63743401301211,50.25,49.666666666666664,89.0,4.387434013012111,4.387434013012111,over,-0.5833333333333357,-0.5833333333333357,False,True,False,4.387434013012111,4.970767346345447,-0.5833333333333357,38.75,39.333333333333336,3-4.99,0.5,2,3,2675,39.333333333333336,lookahead_candidate|sandwich_candidate|disputed_team,3,disputed_team,lookahead_candidate|sandwich_candidate|disputed_team,1.133859036287429,lookahead_candidate|sandwich_candidate|disputed_team,agrees,win,55.77129304929954,6.104626382632873,over,39.333333333333336,win,False,34.36256598698789,33.22870695070046
401635622,2024,14,2024-11-30T17:00:00+00:00,55.60720116174111,54.0,53.166666666666664,40.0,1.6072011617411093,1.6072011617411093,over,-0.8333333333333357,-0.8333333333333357,False,True,False,1.6072011617411093,2.440534495074445,-0.8333333333333357,-14.0,-13.166666666666664,1-1.99,0.5,2,3,2675,-13.166666666666664,upset_win|lookahead_candidate|sandwich_candidate|disputed_team,4,disputed_team,upset_win|lookahead_candidate|sandwich_candidate|disputed_team,0.8078697674116503,upset_win|lookahead_candidate|sandwich_candidate|disputed_team,agrees,loss,56.41507092915276,3.2484042624860976,over,-13.166666666666664,loss,False,15.60720116174111,16.415070929152762
